mean_1_point,mean_2_point,vars_1_point,vars_2_point,prsn_point,sprm_point
7.5844,7.5064,15.179676639998904,15.086759040000278,0.5829428681557972,0.5707474001849346
7.4826,7.5006,14.804697240000163,14.673199639999767,0.7885587041199267,0.7824570718902565
7.5531,7.494,15.346980390000116,14.85916399999997,0.391048837436779,0.38944564195927384
7.4483,7.5376,14.88392710999895,14.907586240000196,-0.18893346802542027,-0.19031829925150476
7.515,7.5159,15.02477500000027,14.794947190000087,0.7904407334604957,0.779738572082204
7.4469,7.4582,14.691380390000026,14.605052759999674,0.7872822215931438,0.7787035530185934
7.4449,7.4995,14.909963989999788,15.057399750000252,0.1870706010833988,0.1845539949471994
7.4559,7.4609,15.023855190000223,15.069071190000145,0.39601216185757476,0.3767701107436106
7.5101,7.5257,14.981497989999777,15.147339510000242,0.5934033036990954,0.579787036279402
7.5806,7.498,15.029903639999372,14.85039599999959,0.19040053592791917,0.18912117598752054
7.5261,7.4809,15.287118790000122,14.688835190000056,0.39040386066903837,0.38336059133857864
7.5472,7.5046,15.217572159999795,14.925378840000025,0.7879215821073946,0.7781272816084526
7.5433,7.5665,15.176925110000003,15.506177749999733,0.5951253541837029,0.5813385166315463
7.4901,7.4929,14.90610198999939,14.393349590000062,0.19805654348907567,0.193202747629325
7.4549,7.5012,14.777565989999548,14.789998559999653,0.787762220310146,0.7756165789459365
7.5535,7.5432,15.287737749999662,14.905333759999671,0.3933561445301427,0.3841568510053327
7.4206,7.426,15.013095640000186,14.787723999999642,0.5935190647922839,0.5819183434356586
7.4918,7.4234,15.136132759999324,14.882932440000028,0.39395512035550084,0.386450485764897
7.5137,7.4519,15.441412310000171,14.713286390003216,0.18385640241888168,0.17650323860276348
7.5238,7.4791,15.12843355999996,15.1721631900001,-0.19316158369879105,-0.19305536258731956
7.5337,7.5535,15.084664310000974,15.121337749999764,0.7860825657513798,0.7761128049510568
7.4789,7.4579,15.109154789999968,14.986427590000034,0.7964033513815502,0.7854148620572076
7.5244,7.5373,15.50100463999968,15.255608710001331,0.4062240956909275,0.3896227114386655
7.5023,7.5183,15.274194710000675,15.31726510999989,0.1906192654377849,0.18561511245437803
7.594,7.5139,15.189164000000138,14.787006789999978,0.18418575640314874,0.18808289444850756
7.488,7.5012,14.995255999999225,14.721998559999717,0.4037632765927309,0.3996101119646942
7.4721,7.5221,14.998221589999789,15.265111589999416,0.20839999351513375,0.20542087551655705
7.4488,7.4548,14.624978559999974,14.869356959999454,0.19106600848497765,0.18866897233736746
7.5274,7.5222,14.91944923999987,14.978107160000203,0.7943267613495026,0.7889872923488036
7.4892,7.4846,15.15268336000168,14.980162839999442,0.21606236676312263,0.20910607695698255
