mean_1_point,mean_2_point,vars_1_point,vars_2_point,prsn_point,sprm_point
7.5054,7.4801,7.556970840000373,7.323203990000117,-0.012265151797810774,-0.005372277356631302
7.5467,7.5495,7.559419109999949,7.655349749999991,-0.009558225433729693,-0.007519046009746355
7.5331,7.4848,7.43070439000019,7.427968959999971,0.007100650192830562,0.0037753438514304847
7.4967,7.4969,7.485589110000014,7.474790390000343,-0.0015788681131677527,-0.0017919728627181456
7.4869,7.4765,7.568028389999397,7.396247750000011,0.004623602119181036,0.0035151362700658593
7.496,7.483,7.576784000000014,7.55471099999974,0.016816862493910123,0.014747151016162202
7.5333,7.436,7.587691109999662,7.529703999999879,0.0011352833033711099,-0.005483477038539381
7.5334,7.4575,7.463284440000018,7.449193750000074,-0.008547275327148681,-0.01098328613541209
7.4846,7.4781,7.597562840000237,7.513120390000494,-0.007264809434835678,-0.011778982232647147
7.5052,7.5035,7.5175729600000825,7.451387749999936,-0.02086580752844644,-0.015213755642193724
7.4941,7.5139,7.506165189999761,7.508606789999928,-0.01711887358268151,-0.011084436290619778
7.5161,7.4718,7.46414078999991,7.604604760000159,0.003969184984003744,0.005845905354100744
7.4333,7.4736,7.361751109999957,7.451903039999896,0.008315336637335198,0.006602141188807716
7.538,7.5335,7.490155999999797,7.559877749999658,-0.004415054087796744,-0.0015956664757591594
7.4789,7.5058,7.526554790000073,7.541366360000165,0.005956017586312384,0.009308448132639204
7.5003,7.5202,7.474799910000446,7.589791959999751,-0.018660997425651252,-0.025621301885927986
7.5222,7.5344,7.701507159999918,7.597416640000097,-0.023422278502415857,-0.02087383942667034
7.5253,7.5123,7.316959910000242,7.521848709999971,-0.007792633915593405,-0.00626328434671669
7.5126,7.4672,7.558841240000073,7.4437241600002295,-0.0011180710340314304,-0.004113716714684676
7.4726,7.5084,7.400249240000204,7.579929439999863,-0.0016916689401394258,-0.0038588880039689636
7.5003,7.4971,7.337799910000399,7.477391589999846,-0.004144461148790966,-0.0011800519663680458
7.505,7.5386,7.669575000000038,7.4789100400000414,0.011356094433563077,0.014823212597548985
7.513,7.506,7.363631000000066,7.46956399999974,0.01579228033921458,0.01569115390829099
7.4634,7.53,7.603660440000138,7.531100000000126,-0.002312848124228401,-0.0016425578413094063
7.4606,7.5092,7.4812476400000625,7.462315360000001,-0.010243551879108546,-0.004687609886768157
7.4871,7.4672,7.556633589999818,7.4159241600002,-0.0014257539064971652,0.0027751691149053583
7.4791,7.4651,7.532763190000035,7.686781990000257,-0.005378808036088969,-0.000495050078017546
7.5019,7.4237,7.554196390000038,7.389778309999907,0.005118756658253509,0.0008129629153487921
7.484,7.4846,7.524344000000012,7.568762840000237,-0.00624743529253211,-0.007746775474966909
7.4587,7.4782,7.365094310000069,7.366724760000123,0.0017173249301212761,0.0024133305886437314
